Date, Open, High, Low, Close, Volume
08/31/21, 733.00, 740.39, 726.44, 735.72, 20855439
08/30/21, 714.715, 731.00, 712.73, 730.91, 18604221
08/27/21, 705.00, 715.00, 702.1001, 711.92, 13833760
08/26/21, 708.31, 715.40, 697.6201, 701.16, 13214290
08/25/21, 707.03, 716.97, 704.00, 711.20, 12645560
08/24/21, 710.68, 715.22, 702.64, 708.49, 13083070
08/23/21, 685.442, 712.1299, 680.7505, 706.30, 20264859
08/20/21, 682.85, 692.1299, 673.70, 680.26, 14841870
08/19/21, 678.21, 686.55, 667.59, 673.47, 14313490
08/18/21, 669.748, 695.77, 669.35, 688.99, 20349381
08/17/21, 672.66, 674.58, 648.84, 665.71, 23721279
08/16/21, 705.07, 709.50, 676.40, 686.17, 23103301
08/13/21, 723.71, 729.90, 714.34, 717.17, 16731471
08/12/21, 706.34, 722.80, 699.40, 722.25, 17681689
08/11/21, 712.71, 715.18, 704.21, 707.82, 9800558
08/10/21, 713.99, 716.59, 701.88, 709.99, 13432310
08/09/21, 710.17, 719.03, 705.13, 713.76, 14715350
08/06/21, 711.90, 716.33, 697.63, 699.10, 15623050
08/05/21, 716.00, 720.9499, 711.41, 714.63, 12919640
08/04/21, 711.00, 724.90, 708.93, 710.92, 17002650
08/03/21, 719.00, 722.65, 701.01, 709.74, 21620250
08/02/21, 700.00, 726.94, 698.40, 709.67, 33615770
07/30/21, 671.758, 697.53, 669.00, 687.20, 29656410
07/29/21, 649.79, 683.69, 648.80, 677.35, 30394641
07/28/21, 646.995, 654.9699, 639.4001, 646.98, 16006600
07/27/21, 663.40, 666.50, 627.24, 644.78, 32813289
07/26/21, 650.97, 668.1999, 647.11, 657.62, 25336561
07/23/21, 646.36, 648.80, 637.3001, 643.38, 14604940
07/22/21, 656.4428, 662.17, 644.6001, 649.26, 15105730
07/21/21, 659.61, 664.8599, 650.2901, 655.29, 13953340
07/20/21, 651.99, 662.3916, 640.501, 660.50, 15487130
07/19/21, 629.89, 647.1999, 621.29, 646.22, 21297090
07/16/21, 654.68, 656.6999, 642.20, 644.22, 16370970
07/15/21, 658.39, 666.14, 637.88, 650.60, 20209570
07/14/21, 670.75, 678.6099, 652.84, 653.38, 21641189
07/13/21, 686.32, 693.28, 666.2958, 668.54, 20966090
07/12/21, 662.20, 687.24, 662.161, 685.70, 25927039
07/09/21, 653.185, 658.91, 644.69, 656.95, 18140551
07/08/21, 628.37, 654.43, 620.46, 652.81, 22773320
07/07/21, 664.27, 665.70, 638.32, 644.65, 18791961
07/06/21, 681.7115, 684.00, 651.4002, 659.58, 23284449
07/02/21, 678.98, 700.00, 673.26, 678.90, 27097369
07/01/21, 683.92, 687.99, 672.80, 677.92, 18634520
06/30/21, 679.77, 692.81, 678.14, 679.70, 18924859
06/29/21, 684.65, 687.5099, 675.89, 680.76, 17381311
06/28/21, 671.64, 694.6999, 670.32, 688.72, 21628160
06/25/21, 689.58, 693.81, 668.70, 671.87, 32496711
06/24/21, 674.99, 697.62, 667.61, 679.82, 45982391
06/23/21, 632.00, 657.204, 630.04, 656.57, 31099230
06/22/21, 618.25, 628.5693, 615.50, 623.71, 19158891
06/21/21, 624.48, 631.39, 608.88, 620.83, 24812740
06/18/21, 613.37, 628.35, 611.80, 623.31, 24560910
06/17/21, 601.888, 621.47, 601.34, 616.60, 22701350
06/16/21, 597.535, 608.50, 593.50, 604.87, 22144131
06/15/21, 616.69, 616.79, 598.23, 599.36, 17764150
06/14/21, 612.23, 625.49, 609.18, 617.69, 20423980
06/11/21, 610.23, 612.56, 601.52, 609.89, 16205300
06/10/21, 603.88, 616.59, 600.50, 610.12, 23919609
06/09/21, 602.17, 611.79, 597.6301, 598.78, 16584570
06/08/21, 623.01, 623.09, 595.50, 603.59, 26053410
06/07/21, 591.825, 610.00, 582.88, 605.13, 22543680
06/04/21, 579.71, 600.61, 577.20, 599.05, 24036900
06/03/21, 601.80, 604.55, 571.22, 572.84, 30111891
06/02/21, 620.13, 623.36, 599.14, 605.12, 23302779
06/01/21, 627.80, 633.80, 620.55, 623.90, 18084891
05/28/21, 628.50, 635.59, 622.38, 625.22, 22737039
05/27/21, 620.24, 631.13, 616.21, 630.85, 26370590
05/26/21, 607.56, 626.17, 601.50, 619.13, 28639311
05/25/21, 607.31, 613.99, 595.71, 604.69, 28005930
05/24/21, 581.60, 614.48, 573.65, 606.44, 34558090
05/21/21, 596.11, 596.68, 580.00, 580.88, 26030600
05/20/21, 575.00, 588.85, 571.07, 586.78, 30821119
05/19/21, 552.55, 566.21, 546.98, 563.46, 39578398
05/18/21, 568.00, 596.25, 563.38, 577.87, 36830566
05/17/21, 575.553, 589.73, 561.20, 576.83, 32247801
05/14/21, 583.41, 592.87, 570.46, 589.74, 33370859
05/13/21, 601.545, 606.4599, 559.65, 571.69, 44184922
05/12/21, 602.49, 620.41, 586.765, 589.89, 33823648
05/11/21, 599.24, 627.0999, 595.60, 617.20, 46503898
05/10/21, 664.90, 665.05, 627.6101, 629.04, 31392420
05/07/21, 665.80, 690.00, 660.22, 672.37, 23469170
05/06/21, 680.76, 681.02, 650.00, 663.54, 27784619
05/05/21, 681.06, 685.2955, 667.34, 670.94, 21901891
05/04/21, 678.94, 683.4464, 657.701, 673.60, 29739320
05/03/21, 703.80, 706.00, 680.50, 684.90, 27043141
04/30/21, 667.59, 715.47, 666.14, 709.44, 40758719
04/29/21, 699.51, 702.25, 668.5002, 677.00, 28845449
04/28/21, 696.41, 708.50, 693.60, 694.40, 22271051
04/27/21, 717.96, 724.00, 703.3501, 704.74, 29437000
04/26/21, 741.00, 749.30, 732.6053, 738.20, 31038500
04/23/21, 719.80, 737.36, 715.46, 729.40, 28413891
04/22/21, 741.50, 753.77, 718.04, 719.69, 35590262
04/21/21, 704.77, 744.84, 698.00, 744.12, 31215510
04/20/21, 717.42, 737.25, 710.685, 718.99, 35609039
04/19/21, 719.60, 725.40, 691.8001, 714.63, 39686230
04/16/21, 728.65, 749.41, 724.60, 739.78, 27979529
04/15/21, 743.10, 743.69, 721.31, 738.85, 27848900
04/14/21, 770.70, 780.79, 728.03, 732.23, 49017434
04/13/21, 712.70, 763.00, 710.66, 762.32, 44652809
04/12/21, 685.70, 704.80, 682.09, 701.98, 29135670
04/09/21, 677.77, 680.97, 669.43, 677.02, 21437090
04/08/21, 677.38, 689.5499, 671.645, 683.80, 23924330
04/07/21, 687.00, 691.38, 667.84, 670.97, 26309430
04/06/21, 690.30, 696.55, 681.37, 691.62, 28271840
04/05/21, 707.71, 708.16, 684.70, 691.05, 41842770
04/01/21, 688.37, 692.4203, 659.42, 661.75, 35298379
03/31/21, 646.62, 672.00, 641.11, 667.93, 33337289
03/30/21, 601.75, 637.66, 591.01, 635.62, 39432359
03/29/21, 615.64, 616.48, 596.02, 611.29, 28636990
03/26/21, 641.87, 643.82, 599.89, 618.71, 33852832
03/25/21, 613.00, 645.50, 609.50, 640.39, 39224848
03/24/21, 667.91, 668.02, 630.11, 630.27, 33795168
03/23/21, 675.77, 677.80, 657.51, 662.16, 30491869
03/22/21, 684.59, 699.62, 668.75, 670.00, 39512219
03/19/21, 646.60, 657.23, 624.6201, 654.87, 42893980
03/18/21, 684.29, 689.23, 652.00, 653.16, 33369020
03/17/21, 656.87, 703.73, 651.01, 701.81, 40372449
03/16/21, 703.35, 707.92, 671.00, 676.88, 32195670
03/15/21, 694.09, 713.18, 684.04, 707.94, 29423480
03/12/21, 670.00, 694.88, 666.1394, 693.73, 33583840
03/11/21, 699.40, 702.50, 677.18, 699.60, 36253887
03/10/21, 700.30, 717.85, 655.06, 668.06, 60605672
03/09/21, 608.18, 678.09, 595.21, 673.58, 67523328
03/08/21, 600.55, 620.125, 558.79, 563.00, 51786961
03/05/21, 626.06, 627.8419, 539.49, 597.95, 89396461
03/04/21, 655.80, 873.94, 600.00, 621.44, 65919531
03/03/21, 687.99, 700.70, 651.705, 653.20, 30207961
03/02/21, 718.28, 721.11, 685.00, 686.44, 23732160
03/01/21, 690.11, 872.00, 685.05, 718.43, 27136240
02/26/21, 700.00, 706.70, 659.51, 675.50, 41089168
02/25/21, 726.15, 737.2066, 670.58, 682.22, 39023859
02/24/21, 711.85, 745.00, 694.17, 742.02, 36766953
02/23/21, 662.13, 713.6099, 619.00, 698.84, 66606883
02/22/21, 762.64, 768.50, 710.20, 714.50, 37269719
02/19/21, 795.00, 796.7899, 777.37, 781.30, 18958260
02/18/21, 780.90, 794.69, 776.27, 787.38, 17957061
02/17/21, 779.09, 799.84, 762.01, 798.15, 26078900
02/16/21, 818.00, 821.00, 792.44, 796.22, 19802320
02/12/21, 801.26, 817.33, 785.3306, 816.12, 23768311
02/11/21, 812.44, 829.8799, 801.725, 811.66, 21622750
02/10/21, 843.635, 844.82, 800.02, 804.82, 36216090
02/09/21, 855.12, 859.80, 841.75, 849.46, 15157650
02/08/21, 869.67, 877.77, 854.75, 863.42, 20161721
02/05/21, 845.00, 864.77, 838.97, 852.23, 18566641
02/04/21, 855.00, 856.50, 833.42, 849.99, 15812660
02/03/21, 877.02, 878.08, 853.0646, 854.69, 18343510
02/02/21, 844.68, 880.50, 842.2006, 872.79, 24346211
02/01/21, 814.29, 842.00, 795.5601, 839.81, 25391391
01/29/21, 830.00, 842.41, 780.10, 793.53, 34990754
01/28/21, 820.00, 848.00, 801.00, 835.43, 26378051
01/27/21, 870.35, 891.50, 858.66, 864.16, 27333961
01/26/21, 891.38, 895.90, 871.60, 883.09, 23131600
01/25/21, 855.00, 900.40, 838.8201, 880.80, 41173398
01/22/21, 834.31, 848.00, 828.62, 846.64, 20066500
01/21/21, 855.00, 855.7199, 841.4201, 844.99, 20598131
01/20/21, 858.74, 859.50, 837.28, 850.45, 25665881
01/19/21, 837.80, 850.00, 833.00, 844.55, 25366980
01/15/21, 852.00, 859.90, 819.10, 826.16, 38777602
01/14/21, 843.39, 863.00, 838.75, 845.00, 31266330
01/13/21, 852.76, 860.47, 832.00, 854.41, 33312500
01/12/21, 831.00, 868.00, 827.34, 849.44, 46270719
01/11/21, 849.40, 854.43, 803.6222, 811.19, 59554152
01/08/21, 856.00, 884.49, 838.39, 880.02, 75055531
01/07/21, 777.63, 816.99, 775.20, 816.04, 51498953
01/06/21, 758.49, 774.00, 749.10, 755.98, 44699969
01/05/21, 723.66, 740.84, 719.20, 735.11, 32245170
01/04/21, 719.46, 744.4899, 717.1895, 729.77, 48638191